,EMPLOYEE_ID,GENDER,ETHNICITY,JOB_STATUS,DEPARTMENT_TITLE,DEPARTMENT_NBR,JOB_CLASS_TITLE,EMPLOYMENT_DATE,ANNUAL_ADDITIONAL_PAY,ANNUAL_BASE_RATE,ANNUAL_RATE
7230,63868,Female,Unknown,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2001-07-01,0.0,104400.0,0.0
23772,106078,Female,Hispanic,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2006-01-11,0.0,104400.0,104400.0
29314,173092,Female,Hispanic,Active,AFFORDABLE HOUSING COMMISSION,3909,MEM AFFORDBL HSG COMMSN,2007-10-01,0.0,104400.0,104400.0
10995,40691,Female,Hispanic,Active,AGING,301,EXEC ADMIN ASST III,1977-10-11,0.0,92519.28,92519.28
4735,27358,Female,Black,Active,AGING,301,NUTRITIONIST,1987-05-11,0.0,88405.92,88405.92
372,10956,Female,Hispanic,Active,AGING,301,SR MGMT ANALYST I,1996-11-04,0.0,112209.12,112209.12
7053,11999,Female,Caucasian,Active,AGING,301,SR MGMT ANALYST I,1999-04-19,0.0,106279.2,106279.2
7052,11999,Female,Caucasian,Transferring Out,AGING,301,MANAGEMENT ANALYST,1999-04-19,0.0,100307.52,100307.52
8795,61935,Female,Black,Active,AGING,301,SR MGMT ANALYST I,2001-05-06,0.0,112209.12,112209.12
18197,71396,Female,Asian,Active,AGING,301,COMNTY PROGRM ASST III,2002-02-21,0.0,88948.8,88948.8
19974,74212,Female,Black,Active,AGING,301,SR ADMINISTRATIVE CLERK,2002-08-04,0.0,57628.8,57628.8
20515,77109,Female,Hispanic,Active,AGING,301,GEN MGR DEPT OF AGING,2002-12-23,0.0,199174.32,199174.32
14248,19287,Female,Hispanic,Active,AGING,301,MANAGEMENT ANALYST,2004-06-27,0.0,100307.52,100307.52
23131,94255,Female,Asian,Active,AGING,301,PR ACCOUNTANT II,2005-01-03,0.0,107678.16,107678.16
26515,281848,Female,Caucasian,Active,AGING,301,MANAGEMENT ASSISTANT,2006-06-09,0.0,48796.56,48796.56
30293,306677,Female,Asian,Active,AGING,301,SR ACCOUNTANT II,2007-12-17,0.0,96298.56,96298.56
30859,322704,Female,Caucasian,Active,AGING,301,SOCIAL WORKER III,2009-02-25,0.0,118473.12,118473.12
36941,367291,Female,Asian,Active,AGING,301,ACCOUNTANT,2014-08-25,0.0,59988.24,59988.24
40350,375634,Female,Black,Active,AGING,301,SOCIAL WORKER II,2015-12-28,0.0,70490.88,70490.88
40570,375751,Female,Filipino,Active,AGING,301,MANAGEMENT ASSISTANT,2016-01-11,0.0,50132.88,50132.88
41546,378280,Female,Filipino,Active,AGING,301,ACCOUNTANT,2016-05-31,0.0,55290.24,55290.24
45888,387401,Female,Caucasian,Active,AGING,301,ACCOUNTING CLERK,2017-05-30,0.0,47689.92,47689.92
35460,360713,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2013-11-04,0.0,25056.0,25056.0
35737,363260,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35826,363114,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35827,363218,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35828,363263,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35847,363178,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
35970,363506,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-10,0.0,25056.0,25056.0
17591,37033,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-24,0.0,29232.0,29232.0
35969,363498,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-03-24,0.0,25056.0,25056.0
36065,364151,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,29232.0,29232.0
35987,363783,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
35988,363792,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
36048,363928,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
36073,363823,Female,Other,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-07,0.0,25056.0,25056.0
36168,364356,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-04-21,0.0,25056.0,25056.0
36132,364447,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-05-05,0.0,25056.0,25056.0
36133,364450,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-05-05,0.0,25056.0,25056.0
36135,364453,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-05-05,0.0,25056.0,25056.0
36704,366771,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-08-04,0.0,29232.0,29232.0
36703,366770,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-08-04,0.0,25056.0,25056.0
36746,366784,Female,Asian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-08-04,0.0,25056.0,25056.0
36747,366785,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-08-04,0.0,25056.0,25056.0
36862,367268,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-08-25,0.0,25056.0,25056.0
36952,367324,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-08-25,0.0,25056.0,25056.0
36973,367576,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-09-08,0.0,25056.0,25056.0
36977,367575,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-09-08,0.0,25056.0,25056.0
37060,367593,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-09-08,0.0,25056.0,25056.0
37061,367494,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-09-08,0.0,25056.0,25056.0
37178,368716,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-11-17,0.0,29232.0,29232.0
37181,368670,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-11-17,0.0,25056.0,25056.0
37223,368658,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2014-11-17,0.0,25056.0,25056.0
40015,375183,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-11-24,0.0,25056.0,25056.0
40052,375288,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-02,0.0,25056.0,25056.0
40310,155730,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-07,0.0,25056.0,25056.0
40297,375373,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-09,0.0,25056.0,25056.0
40298,375376,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-09,0.0,25056.0,25056.0
40313,375372,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-09,0.0,25056.0,25056.0
40269,375388,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-10,0.0,25056.0,25056.0
40280,375439,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-15,0.0,25056.0,25056.0
40190,375507,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-17,0.0,25056.0,25056.0
40366,138016,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-21,0.0,25056.0,25056.0
40179,375628,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-22,0.0,25056.0,25056.0
40328,375630,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2015-12-28,0.0,25056.0,25056.0
40454,375684,Female,American Indian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-01-07,0.0,25056.0,25056.0
40519,375847,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-01-11,0.0,25056.0,25056.0
40520,375850,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-01-13,0.0,25056.0,25056.0
35161,13186,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-01-14,0.0,25056.0,25056.0
40472,375863,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-01-19,0.0,25056.0,25056.0
40681,376191,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-02-09,0.0,25056.0,25056.0
40797,376302,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-02-11,0.0,25056.0,25056.0
40798,376305,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-02-11,0.0,25056.0,25056.0
40817,376533,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-03-01,0.0,25056.0,25056.0
40834,376568,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-03-03,0.0,25056.0,25056.0
40878,376856,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-03-21,0.0,25056.0,25056.0
41024,377048,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-04-06,0.0,25056.0,25056.0
41034,377080,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-04-11,0.0,25056.0,25056.0
41341,377681,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-05-10,0.0,29232.0,29232.0
41836,378014,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-05-23,0.0,29232.0,29232.0
41530,378075,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-05-24,0.0,25056.0,25056.0
41600,217730,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-05-24,0.0,25056.0,25056.0
41807,378123,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-05-26,0.0,25056.0,25056.0
43372,380131,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-07-26,0.0,25056.0,25056.0
42797,380140,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2016-07-27,0.0,25056.0,25056.0
46691,388624,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-07-06,0.0,25056.0,25056.0
47560,388798,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-07-12,0.0,25056.0,25056.0
46435,388881,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-07-17,0.0,25056.0,25056.0
46537,388882,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-07-17,0.0,25056.0,25056.0
47652,388880,Female,Hispanic,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-07-17,0.0,25056.0,25056.0
46424,390826,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-09-26,0.0,25056.0,25056.0
46775,390853,Female,Caucasian,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-09-26,0.0,25056.0,25056.0
46776,390854,Female,Black,Active,AGING - SCSEP 1982,1982,COMNTY/ADMN SUP WKR I,2017-09-26,0.0,25056.0,25056.0
32625,337652,Female,Black,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2011-03-29,0.0,39692.88,39692.88
32720,339232,Female,Hispanic,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2011-06-10,0.0,37229.04,37229.04
33463,344814,Female,Hispanic,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2012-01-30,0.0,36581.76,36581.76
33493,165234,Female,Black,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2012-03-12,0.0,39692.88,39692.88
35590,361367,Female,Hispanic,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2013-12-02,0.0,39692.88,39692.88
38043,370740,Female,Asian,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2015-03-19,0.0,37229.04,37229.04
38007,370933,Female,Hispanic,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2015-04-06,0.0,37229.04,37229.04
38008,370935,Female,Filipino,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2015-04-06,0.0,37229.04,37229.04
42551,379792,Female,Hispanic,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2016-07-20,0.0,37229.04,37229.04
42707,380666,Female,Hispanic,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2016-08-22,0.0,37584.0,37584.0
42737,380665,Female,Hispanic,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2016-08-22,0.0,37584.0,37584.0
42638,381579,Female,Hispanic,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2016-10-03,0.0,37584.0,37584.0
32325,332391,Female,Hispanic,Active,AGING AS NEEDED,302,ADMINISTRATIVE CLERK,2017-04-24,0.0,37584.0,37584.0
45063,386367,Female,Asian,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2017-05-01,0.0,37229.04,37229.04
45648,387065,Female,Asian,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2017-05-22,0.0,37229.04,37229.04
48396,392992,Female,Hispanic,Active,AGING AS NEEDED,302,PROGRAM AIDE AGING,2017-11-13,0.0,37229.04,37229.04
1986,43281,Female,Caucasian,Active,AIRPORTS,101,AIRPORT INFO SPEC I,1962-04-01,0.0,61491.6,61491.6
11479,46692,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR II,1975-03-05,10607.04,92895.12,103502.16
16588,38175,Female,Caucasian,Active,AIRPORTS,101,COMMISSION EXEC ASST II,1978-05-10,0.0,100307.52,100307.52
9377,28951,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR III,1979-08-13,16182.0,98177.76,114359.76
15710,21736,Female,Black,Active,AIRPORTS,101,ACCOUNTING CLERK,1979-08-28,0.0,69697.44,69697.44
18365,41039,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1979-12-06,0.0,66001.68,66001.68
16382,39331,Female,Caucasian,Active,AIRPORTS,101,AIRPORT POLICE LT,1980-05-18,7852.45,136722.24,144574.69
11248,37054,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR II,1980-05-18,8748.72,92895.12,101643.84
11614,47560,Female,Caucasian,Active,AIRPORTS,101,SR MGMT ANALYST II,1980-06-30,0.0,146744.64,146744.64
1163,31405,Female,Caucasian,Active,AIRPORTS,101,AIRPORT POLICE OFCR II,1980-07-13,7830.0,92895.12,100725.12
2339,37222,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1980-09-07,0.0,62514.72,62514.72
9945,35662,Female,Black,Active,AIRPORTS,101,WORKERS COMP ANALYST,1981-02-08,0.0,98073.36,98073.36
11651,54606,Female,Black,Active,AIRPORTS,101,MANAGEMENT ANALYST,1981-03-23,0.0,100307.52,100307.52
9696,35744,Female,Hispanic,Active,AIRPORTS,101,AIRPORT POLICE SGT I,1981-03-25,9878.85,116218.08,126096.93
1348,23103,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1981-06-29,0.0,66001.68,66001.68
8172,22474,Female,Black,Active,AIRPORTS,101,CUSTODIAN - AIRPORT,1981-08-23,0.0,47669.04,47669.04
11216,37162,Female,Black,Active,AIRPORTS,101,RISK MANAGER I,1981-11-16,0.0,117804.96,117804.96
14483,33269,Female,Hispanic,Active,AIRPORTS,101,EXEC ADMIN ASST II,1982-01-25,0.0,86317.92,86317.92
12658,55686,Female,Black,Active,AIRPORTS,101,PERSONNEL ANALYST,1982-09-08,0.0,95004.0,95004.0
8210,18892,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE CAPTAIN,1982-09-12,0.0,173638.08,173638.08
15495,49923,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR III,1982-11-08,10774.08,98177.76,108951.84
2997,49554,Female,Black,Active,AIRPORTS,101,EXEC ADMIN ASST III,1983-04-10,0.0,92519.28,92519.28
7113,15403,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1983-09-06,0.0,66001.68,66001.68
1798,38799,Female,Black,Active,AIRPORTS,101,SECURITY OFFICER,1983-10-03,11318.53,58798.08,70116.61
4854,26655,Female,Asian,Active,AIRPORTS,101,MANAGEMENT ANALYST,1984-01-03,0.0,100307.52,100307.52
8307,18772,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE SGT I,1984-01-08,6682.91,116218.08,122900.99
7324,10676,Female,Black,Active,AIRPORTS,101,SR PERSONNEL ANALYST II,1984-02-27,0.0,137035.44,137035.44
12288,46084,Female,Black,Active,AIRPORTS,101,ACCOUNTING CLERK,1984-05-14,0.0,69697.44,69697.44
16587,38163,Female,Caucasian,Active,AIRPORTS,101,SECRETARY,1984-06-11,0.0,71722.8,71722.8
23761,101846,Female,Black,Leave,AIRPORTS,101,MANAGEMENT ANALYST,1984-06-24,0.0,100307.52,100307.52
1287,15846,Female,Black,Leave,AIRPORTS,101,ADMINISTRATIVE CLERK,1984-08-23,0.0,0.0,0.0
5504,42113,Female,Caucasian,Active,AIRPORTS,101,PROPERTY MANAGER III,1984-12-10,0.0,166121.28,166121.28
6820,54757,Female,Caucasian,Active,AIRPORTS,101,EXEC ASST AIRPORTS,1985-02-04,0.0,188483.76,188483.76
6073,51030,Female,Black,Active,AIRPORTS,101,SR MGMT ANALYST I,1985-04-14,0.0,118473.12,118473.12
7684,21643,Female,Black,Active,AIRPORTS,101,ACCOUNTING CLERK,1985-05-12,0.0,64247.76,64247.76
4879,25867,Female,Filipino,Active,AIRPORTS,101,SR SYSTEMS ANALYST II,1985-06-03,0.0,146765.52,146765.52
17377,24546,Female,Black,Active,AIRPORTS,101,ACCOUNTING CLERK,1985-06-09,0.0,69697.44,69697.44
3924,50146,Female,Caucasian,Active,AIRPORTS,101,ACCOUNTING CLERK,1985-06-30,0.0,64247.76,64247.76
9473,31384,Female,Black,Active,AIRPORTS,101,CH MANAGEMENT ANALYST,1985-09-03,0.0,175120.56,175120.56
12089,49615,Female,Caucasian,Active,AIRPORTS,101,SR MGMT ANALYST II,1985-10-21,0.0,128119.68,128119.68
12336,55366,Female,Hispanic,Active,AIRPORTS,101,ACCOUNTING CLERK,1985-12-10,1916.78,69697.44,71614.22
17399,25321,Female,Black,Active,AIRPORTS,101,ADMINISTRATIVE CLERK,1986-01-05,0.0,53473.68,53473.68
17111,15901,Female,Black,Active,AIRPORTS,101,CUSTODIAN SUPERVISOR,1986-01-26,0.0,58923.36,58923.36
10473,37065,Female,Black,Active,AIRPORTS,101,OFFICE SVCS ASSISTANT,1986-02-10,0.0,53473.68,53473.68
8328,18519,Female,Hispanic,Active,AIRPORTS,101,TRANSITIONAL WORKER,1986-03-21,0.0,0.0,0.0
6013,37001,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE OFCR II,1986-06-15,10607.04,92895.12,103502.16
9458,27870,Female,Black,Active,AIRPORTS,101,ADMINISTRATIVE CLERK,1986-07-20,0.0,53473.68,53473.68
2964,49931,Female,Black,Active,AIRPORTS,101,PR CLERK,1986-08-17,0.0,79156.08,79156.08
5275,40973,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1986-08-17,3629.99,66001.68,69631.67
14554,43492,Female,Hispanic,Active,AIRPORTS,101,COMMUN INFO REP III,1986-09-07,3906.91,71033.76,74940.67
13321,56837,Female,Asian,Active,AIRPORTS,101,SYSTEMS ANALYST,1986-10-20,0.0,76462.56,76462.56
8208,18889,Female,Hispanic,Active,AIRPORTS,101,PERSONNEL DIR II,1986-11-10,4550.01,165453.12,170003.13
3859,46541,Female,Black,Active,AIRPORTS,101,SECRETARY,1986-12-21,0.0,71722.8,71722.8
17992,53936,Female,Caucasian,Active,AIRPORTS,101,SR MGMT ANALYST II,1987-01-05,0.0,146744.64,146744.64
10738,40157,Female,Asian,Active,AIRPORTS,101,CIVIL ENGRG ASSOC IV,1987-03-23,0.0,127555.92,127555.92
2524,55350,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1987-04-20,0.0,66001.68,66001.68
16183,34287,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1987-08-30,0.0,66001.68,66001.68
10052,34592,Female,Hispanic,Active,AIRPORTS,101,SR MGMT ANALYST II,1987-09-28,0.0,131648.4,131648.4
44363,14404,Female,Caucasian,Active,AIRPORTS,101,CH MANAGEMENT ANALYST,1987-10-13,0.0,161423.28,161423.28
15582,20105,Female,Black,Active,AIRPORTS,101,COMMUN INFO REP III,1987-10-13,3906.91,71033.76,74940.67
18403,39585,Female,Black,Active,AIRPORTS,101,CUSTODIAN SUPERVISOR,1987-10-25,3240.84,58923.36,62164.2
16975,43335,Female,Black,Active,AIRPORTS,101,MANAGEMENT ANALYST,1987-10-26,0.0,100307.52,100307.52
10905,40923,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE LT,1987-12-07,7852.45,136722.24,144574.69
3558,54876,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1987-12-14,0.0,66001.68,66001.68
1413,32303,Female,Black,Active,AIRPORTS,101,ADMINISTRATIVE CLERK,1988-01-31,0.0,53473.68,53473.68
248,16893,Female,Black,Active,AIRPORTS,101,CUSTODIAN SUPERVISOR,1988-02-14,0.0,58923.36,58923.36
11560,47266,Female,Black,Active,AIRPORTS,101,SR ADMINISTRATIVE CLERK,1988-03-09,0.0,66001.68,66001.68
7868,21679,Female,Asian,Active,AIRPORTS,101,EXEC ADMIN ASST III,1988-04-17,0.0,92519.28,92519.28
5701,48527,Female,Hispanic,Active,AIRPORTS,101,ADMINISTRATIVE CLERK,1988-04-25,0.0,53473.68,53473.68
44531,28767,Female,Asian,Active,AIRPORTS,101,CIVIL ENGRG ASSOC IV,1988-05-09,0.0,127555.92,127555.92
17746,45740,Female,Black,Active,AIRPORTS,101,PR COMMUNICATIONS OPER,1988-05-09,0.0,83895.84,83895.84
10100,35043,Female,Black,Active,AIRPORTS,101,SECRETARY,1988-05-09,0.0,71722.8,71722.8
7489,17296,Female,Black,Active,AIRPORTS,101,WORKERS COMP ANALYST,1988-05-16,0.0,98073.36,98073.36
14408,43251,Female,Black,Active,AIRPORTS,101,PROCUREMENT ANALYST II,1988-05-16,0.0,92477.52,92477.52
8927,24669,Female,Caucasian,Active,AIRPORTS,101,INFO SYSTEM MGR I,1988-06-06,0.0,158500.08,158500.08
16366,37834,Female,Black,Active,AIRPORTS,101,WORKERS COMP CLAIMS AST,1988-06-14,0.0,70657.92,70657.92
14536,45054,Female,Black,Active,AIRPORTS,101,PR COMMUNICATIONS OPER,1988-06-26,4614.22,83895.84,88510.06
142,11889,Female,Black,Active,AIRPORTS,101,SR SYSTEMS ANALYST II,1988-07-05,0.0,135281.52,135281.52
11933,43712,Female,Caucasian,Active,AIRPORTS,101,AIRPORT ENGINEER I,1988-07-11,0.0,131063.76,131063.76
15776,54855,Female,Black,Active,AIRPORTS,101,MANAGEMENT ANALYST,1988-07-17,0.0,100307.52,100307.52
10313,30213,Female,Black,Active,AIRPORTS,101,MANAGEMENT ANALYST,1988-07-25,0.0,100307.52,100307.52
1387,11960,Female,Asian,Active,AIRPORTS,101,AUDITOR II,1988-08-01,0.0,94586.4,94586.4
11128,36481,Female,Hispanic,Active,AIRPORTS,101,SR PERSONNEL ANALYST II,1988-08-08,0.0,140793.84,140793.84
6571,55569,Female,Black,Active,AIRPORTS,101,SR COMMUN OPERATOR II,1988-08-29,4380.1,79636.32,84016.42
14149,41352,Female,Black,Active,AIRPORTS,101,COMMUN INFO REP III,1988-08-29,7813.82,71033.76,78847.58
3271,45350,Female,Black,Active,AIRPORTS,101,COMMUN INFO REP III,1988-08-29,3906.91,71033.76,74940.67
17140,17098,Female,Caucasian,Active,AIRPORTS,101,SECRETARY,1988-09-03,0.0,71722.8,71722.8
8687,27523,Female,Asian,Active,AIRPORTS,101,INFO SYSTEM MGR I,1988-09-12,0.0,158500.08,158500.08
5021,32909,Female,Black,Active,AIRPORTS,101,SR COMMUN OPERATOR II,1988-09-26,4380.1,79636.32,84016.42
7220,13375,Female,Black,Active,AIRPORTS,101,CUSTODIAN SUPERVISOR,1988-12-04,3240.84,58923.36,62164.2
11054,36367,Female,Black,Active,AIRPORTS,101,SR MGMT ANALYST II,1988-12-05,0.0,114944.4,114944.4
687,26457,Female,Black,Active,AIRPORTS,101,EXEC ADMIN ASST II,1988-12-05,0.0,81766.08,81766.08
17103,15407,Female,Black,Active,AIRPORTS,101,AIRPORT POLICE SGT II,1988-12-12,7069.71,122690.88,129760.59
10880,41362,Female,Asian,Active,AIRPORTS,101,ENVIRONMENTAL SPEC II,1989-01-01,0.0,105444.0,105444.0
10268,30727,Female,Caucasian,Active,AIRPORTS,101,AIRPORT ENGINEER I,1989-01-03,0.0,134676.0,134676.0
17295,23876,Female,Asian,Active,AIRPORTS,101,ACCOUNTING CLERK,1989-01-13,0.0,69697.44,69697.44
1460,36525,Female,Black,Active,AIRPORTS,101,SECRETARY,1989-01-31,0.0,71722.8,71722.8
15640,54626,Female,Hispanic,Active,AIRPORTS,101,SR CUSTODIAN I - AIRPORT,1989-02-05,2887.18,52492.32,55379.5
44527,52759,Female,Asian,Active,AIRPORTS,101,TELECOM PLN & UTIL OFCR,1989-02-13,0.0,134279.28,134279.28
12306,49802,Female,Black,Active,AIRPORTS,101,SECRETARY,1989-03-05,0.0,71722.8,71722.8
14253,25812,Female,Black,Active,AIRPORTS,101,SR MGMT ANALYST I,1989-04-03,0.0,106279.2,106279.2
10086,33494,Female,Black,Active,AIRPORTS,101,ACCOUNTING CLERK,1989-04-09,0.0,69697.44,69697.44
11861,43587,Female,Asian,Active,AIRPORTS,101,MANAGEMENT ANALYST,1989-04-10,0.0,100307.52,100307.52
