,FullName,SegmentID,CD,CS_RoundSc_Q1_2016,CS_RoundSc_Q4_2016,CS_RoundSc_Q4_2017,Miles,SanDist,LAPD_Grid,Cat_Q1_2016,Cat_Q4_2016,Cat_Q4_2017
35413,Alley,39025,4,2,1,1,0.094852658258478,EV,943,Somewhat Clean,Clean,Clean
35414,Alley,39026,3,2,1,1,0.171182771587261,WV,1045,Somewhat Clean,Clean,Clean
35415,,39027,5,3,1,1,0.251435784195492,WV,1047,Not Clean,Clean,Clean
35416,Alley,39028,2,1,1,1,0.062500620299233,EV,1583,Clean,Clean,Clean
35417,Alley,39029,4,1,1,1,0.062897824782002,EV,984,Clean,Clean,Clean
35418,Alley,39030,4,1,1,1,0.096234099966664,EV,981,Clean,Clean,Clean
35419,Alley,39031,4,1,1,1,0.058286493507497,EV,1567,Clean,Clean,Clean
35420,Alley,39032,4,1,1,1,0.070345628702185,EV,989,Clean,Clean,Clean
35421,Alley,39033,2,2,1,1,0.124988104573291,EV,1581,Somewhat Clean,Clean,Clean
35422,Alley,39034,4,1,1,1,0.101385218312527,EV,1567,Clean,Clean,Clean
35423,Alley,39035,2,2,1,1,0.033622619056149,EV,1583,Somewhat Clean,Clean,Clean
35424,Alley,39036,4,1,2,1,0.11820820719135,NC,1132,Clean,Somewhat Clean,Clean
35425,,39037,1,2,1,1,0.110384159866577,NC,1134,Somewhat Clean,Clean,Clean
35426,Alley,39038,14,2,1,1,0.071981939157909,NC,1128,Somewhat Clean,Clean,Clean
35427,,39039,1,1,1,1,0.070072723481076,NC,1134,Clean,Clean,Clean
35428,Alley,39040,14,0,1,1,0.080495878234515,0,1139,Not Evaluated,Clean,Clean
35429,Alley,39041,1,1,1,1,0.084648631049641,NC,1149,Clean,Clean,Clean
35430,Alley,39042,1,1,1,1,0.044348104056009,NC,1149,Clean,Clean,Clean
35431,Alley,39043,2,1,1,1,0.19546913273328,EV,1591,Clean,Clean,Clean
35432,Alley,39044,2,0,1,1,0.124069100742571,0,1595,Not Evaluated,Clean,Clean
35433,Alley,39045,14,1,1,1,0.03410420604151,NC,1105,Clean,Clean,Clean
35434,Alley,39046,2,1,1,1,0.064224098162751,EV,1585,Clean,Clean,Clean
35435,Alley,39047,14,1,1,1,0.071180108872391,NC,1109,Clean,Clean,Clean
35436,Alley,39048,2,0,1,1,0.077209196646953,0,1595,Not Evaluated,Clean,Clean
35437,Alley,39049,2,1,1,1,0.113926520179022,EV,1595,Clean,Clean,Clean
35438,Alley,39050,14,1,1,1,0.040889228486573,NC,1119,Clean,Clean,Clean
35439,Alley,39051,14,1,1,1,0.057243768779875,NC,1109,Clean,Clean,Clean
35440,Alley,39052,14,2,1,1,0.079443420075495,NC,1119,Somewhat Clean,Clean,Clean
35441,Alley,39053,14,0,1,1,0.031950465217126,0,1117,Not Evaluated,Clean,Clean
35442,Alley,39054,1,2,1,1,0.177043620322882,NC,1137,Somewhat Clean,Clean,Clean
35443,Alley,39055,1,2,1,2,0.141919203894606,NC,1137,Somewhat Clean,Clean,Somewhat Clean
35444,Alley,39056,1,3,1,2,0.084519017090721,NC,1149,Not Clean,Clean,Somewhat Clean
35445,Alley,39057,1,1,2,1,0.044270487826125,NC,1137,Clean,Somewhat Clean,Clean
35446,Alley,39058,1,1,1,1,0.027982910384032,NC,1148,Clean,Clean,Clean
35447,Alley,39059,1,1,1,1,0.031252243490877,NC,1148,Clean,Clean,Clean
35448,Alley,39060,1,1,1,1,0.015217136223786,NC,1148,Clean,Clean,Clean
35449,Alley,39061,1,1,1,1,0.038679526221857,NC,1149,Clean,Clean,Clean
35450,Alley,39062,14,2,1,1,0.036888420586267,NC,1115,Somewhat Clean,Clean,Clean
35451,Alley,39063,14,1,1,1,0.024532313357628,NC,1119,Clean,Clean,Clean
35452,Alley,39064,4,1,1,1,0.099322981555528,EV,1599,Clean,Clean,Clean
35453,Alley,39065,4,1,1,1,0.061713151218017,EV,994,Clean,Clean,Clean
35454,Alley,39066,4,0,1,1,0.037274897043556,0,1599,Not Evaluated,Clean,Clean
35455,Alley,39067,14,1,1,1,0.028279014878577,NC,1117,Clean,Clean,Clean
35456,Alley,39068,14,1,1,1,0.029834841025423,NC,1117,Clean,Clean,Clean
