SegmentID,District
1632,7
1635,7
1636,7
1637,7
1638,7
1639,7
1640,7
1641,7
1642,7
1643,7
1644,7
1645,7
1646,7
1647,7
1648,7
1649,7
1650,7
1651,7
1652,7
1660,7
1661,7
1663,7
1664,7
1665,7
1668,7
1669,7
1672,7
1673,7
1675,7
1676,7
1677,7
1678,7
1679,7
1680,7
1681,7
1682,7
1683,7
1702,7
1703,7
1704,7
1707,7
1709,7
1713,7
1731,7
1937,7
1939,7
1940,7
1941,7
1942,7
1944,7
1946,7
1947,7
1948,7
1949,7
1950,7
1951,7
1953,7
1957,7
1958,7
1959,7
1960,7
1961,7
1963,7
1966,7
1967,7
1973,7
2272,7
2379,7
2657,7
2787,7
2792,7
2793,7
2890,7
3187,7
3248,7
3594,7
4638,7
4691,7
4692,7
4737,7
4939,7
4974,7
5034,7
5211,7
5888,7
5925,7
5951,7
5955,7
5957,7
5963,7
5974,7
6157,7
6785,7
6811,7
6812,7
7206,7
7451,7
7889,7
7891,7
8167,7
8240,7
9923,7
10123,7
10124,7
10331,7
10678,7
10845,7
10907,7
10978,7
11163,7
11175,7
11717,7
11782,7
11783,7
11940,7
12034,7
12341,7
12342,7
12343,7
12344,7
12698,7
12737,7
12761,7
13612,7
13706,7
13905,7
14243,7
14440,7
14584,7
15056,7
15364,7
15641,7
15642,7
15643,7
15644,7
15785,7
15786,7
15803,7
16487,7
16913,7
17148,7
18195,7
18427,7
18436,7
18499,7
18792,7
18867,7
19074,7
19513,7
19546,7
19637,7
19697,7
19701,7
19899,7
19933,7
19942,7
19944,7
19945,7
20005,7
20042,7
20070,7
20071,7
20075,7
20317,7
20318,7
20319,7
20463,7
20611,7
20612,7
20996,7
21001,7
21413,7
21486,7
21703,7
21851,7
21934,7
22149,7
22176,7
22330,7
24683,7
24904,7
25155,7
25448,7
25515,7
26008,7
26220,7
26240,7
26489,7
26538,7
26636,7
26651,7
27145,7
27285,7
27831,7
27832,7
27854,7
27855,7
27965,7
27966,7
27967,7
27968,7
27969,7
27970,7
27971,7
27972,7
27973,7
27975,7
27976,7
27987,7
28293,7
30111,7
30234,7
30348,7
30378,7
30466,7
30692,7
30738,7
31175,7
31209,7
31555,7
31556,7
31712,7
31886,7
32054,7
32179,7
32241,7
32248,7
32448,7
32571,7
32589,7
32593,7
32597,7
32646,7
32826,7
32827,7
32976,7
33043,7
33136,7
37695,7
37708,7
38697,7
38714,7
38751,7
38752,7
38795,7
38812,7
40159,7
40179,7
40221,7
41512,7
41516,7
41517,7
41518,7
41634,7
42876,7
42878,7
42902,7
42927,7
42986,7
44685,7
44687,7
44688,7
44689,7
44690,7
44691,7
44692,7
44693,7
44694,7
44695,7
44696,7
44697,7
44698,7
44699,7
44700,7
44705,7
44706,7
44707,7
44708,7
44709,7
44710,7
44711,7
44712,7
44713,7
44714,7
44716,7
44717,7
44718,7
44745,7
44800,7
44802,7
44804,7
44805,7
44806,7
44807,7
44808,7
44809,7
44810,7
44811,7
44813,7
44820,7
44824,7
44837,7
44848,7
44863,7
44870,7
44871,7
44872,7
44873,7
44874,7
44875,7
44876,7
44877,7
44878,7
44879,7
44880,7
44881,7
44886,7
44889,7
44890,7
44904,7
44905,7
44925,7
44927,7
44930,7
44952,7
44953,7
44954,7
44957,7
44997,7
44999,7
45004,7
45007,7
45009,7
45013,7
45014,7
45015,7
45041,7
45057,7
45073,7
45076,7
45081,7
45085,7
45087,7
45089,7
45108,7
45119,7
45122,7
45123,7
45128,7
45135,7
45136,7
45147,7
45148,7
45149,7
45150,7
45151,7
45152,7
45163,7
45177,7
45178,7
45179,7
45180,7
45186,7
45192,7
45196,7
45212,7
45216,7
45222,7
45223,7
45224,7
45227,7
45233,7
45234,7
45255,7
45258,7
45260,7
45261,7
45262,7
45270,7
45279,7
45301,7
45302,7
45304,7
45305,7
45309,7
45311,7
45319,7
45330,7
45332,7
45337,7
45341,7
45342,7
45346,7
45350,7
45377,7
45378,7
45387,7
45388,7
45417,7
45418,7
45431,7
45433,7
45447,7
45451,7
45456,7
45461,7
45475,7
45493,7
45494,7
45495,7
45505,7
45516,7
45520,7
45524,7
45529,7
45537,7
